A_UP,B_LOW,dt_AB,V_MIX_TSP,dT_CD,dband_CD,A,B,C,D
20.0,27.0,2.0,32.0,1.0,0.0,18-27,29-20,15-31,35-33
20.0,27.0,2.0,32.0,1.0,1.0,18-27,29-20,16-31,34-33
